ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0000,0.0000,0.0000,no,530.48,yes
Al III,1862.790,0.2780,0.0000,0.0165,0.0000,0.0165,no,264.96,yes
Zn II,2026.137,0.5010,0.9661,0.3721,0.1540,0.4027,yes,27.64,yes
Cr II,2056.254,0.1050,0.0000,0.0270,0.0000,0.0270,no,1.48,no
Cr II,2062.234,0.0780,0.3464,0.1693,0.0439,0.1749,yes,1.10,no
Zn II,2062.664,0.2460,0.0000,0.1348,0.0000,0.1348,no,13.81,yes
Cr II,2066.161,0.0510,0.0000,0.0305,0.0000,0.0305,no,0.72,no
Fe II,2249.877,0.0018,0.4857,0.1978,0.0901,0.2173,yes,2.10,no
Fe II,2260.780,0.0024,0.0000,0.1002,0.0329,0.1054,no,2.82,no
Fe II,2344.214,0.1140,0.9125,0.1855,0.2236,0.2906,yes,136.74,yes
Fe II,2374.461,0.0313,1.3219,0.1674,0.0700,0.1815,yes,38.03,yes
Fe II,2382.765,0.3200,1.4656,0.1584,0.0688,0.1727,yes,390.13,yes
Mn II,2576.877,0.3610,0.5647,0.1554,0.1473,0.2141,yes,3.54,no
Fe II,2586.650,0.0691,1.6718,0.2378,0.2242,0.3268,yes,91.45,yes
Mn II,2594.499,0.2800,0.9778,0.2349,0.0345,0.2374,yes,2.77,no
Fe II,2600.173,0.2390,1.4025,0.2516,0.2497,0.3545,yes,317.96,yes
Mn II,2606.462,0.1980,0.0000,0.0263,0.0000,0.0263,no,1.97,no
Mg II,2796.352,0.6150,1.3472,0.0908,0.2344,0.2514,yes,19.83,yes
Mg II,2803.531,0.3060,1.0846,0.0884,0.2073,0.2253,yes,9.89,yes
Mg I,2852.964,1.8300,0.8350,0.1835,0.2286,0.2931,yes,3.05,no
