# TESS-SN le2ba4010 G160M FUV z=0.007522  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1573.9496 1585.7889 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1573.9618 1585.8011 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1573.9739 1585.8134 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1573.9861 1585.8256 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1573.9982 1585.8379 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0104 1585.8501 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0226 1585.8623 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0347 1585.8746 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0469 1585.8868 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0590 1585.8991 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0712 1585.9113 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0833 1585.9236 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.0955 1585.9358 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1077 1585.9481 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1198 1585.9603 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1320 1585.9726 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1441 1585.9848 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1563 1585.9971 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1684 1586.0093 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1806 1586.0216 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.1928 1586.0338 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.2049 1586.0461 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.2171 1586.0583 0.000000e+00 0.000000e+00 0.0000e+00 128 0
