# obs_wvl flux error
1.598624685627246663e+03 -8.120675595405408296e-17 1.871815123215205164e-15
1.598636934365035813e+03 -8.450826263759389204e-17 1.747246160975540937e-15
1.598649183102824963e+03 -8.475793081858358047e-17 1.747349135608480012e-15
1.598661431840614114e+03 -8.806065244700152737e-17 1.747451523735864153e-15
1.598673680578403264e+03 -8.831055947128351514e-17 1.747554301767888350e-15
1.598685929316192414e+03 -8.831540298321679713e-17 1.747657081915439294e-15
1.598698178053981565e+03 -8.832024695288399394e-17 1.747759665581534145e-15
1.598710426791770715e+03 -8.832509708226229961e-17 1.747862641244589483e-15
1.598722675529559865e+03 -8.832993534995174772e-17 1.747965422532840593e-15
1.598734924267349015e+03 -8.833475422303999031e-17 1.748068202680373788e-15
1.598747173005138166e+03 -8.833960252148391857e-17 1.748170982915305474e-15
1.598759421742927316e+03 -8.834444078917331738e-17 1.748273566526092892e-15
1.598771670480716466e+03 -8.834927814139551516e-17 1.748376542212351983e-15
1.598783919218505616e+03 -8.835411549361755270e-17 1.748479323445277911e-15
1.598796167956294767e+03 9.577392800609057711e-16 2.194739782262450200e-15
1.598808416694083917e+03 1.035331546669226836e-15 2.196927070502520686e-15
1.598820665431873067e+03 -1.064249351705633708e-17 1.751562834945528257e-15
1.598832914169662217e+03 -8.837344642337259817e-17 1.748890643014024515e-15
1.598845162907451368e+03 -8.837828856210517105e-17 1.748993618700278676e-15
1.598857411645240518e+03 -8.838312021234957083e-17 1.749096596502013631e-15
1.598869660383029668e+03 -8.838795094712696679e-17 1.749199377822364674e-15
1.598881909120818818e+03 9.585886551843955542e-16 2.195992796153281810e-15
1.598894157858607969e+03 -1.059548858696551205e-17 1.752184570934657952e-15
1.598906406596397119e+03 -8.840245547088116286e-17 1.749508506798418642e-15
1.598918655334186269e+03 -8.840728712112582148e-17 1.749611289204182535e-15
1.598930904071975419e+03 9.591012839529416765e-16 2.196729129394969975e-15
1.598943152809764570e+03 -1.057528776730605412e-17 1.752598457915875836e-15
1.598955401547553720e+03 -9.173412664230027939e-17 1.749920023957124345e-15
1.598967650285342870e+03 -9.198528614210657205e-17 1.750023001846314984e-15
1.598979899023132020e+03 -9.199031540023082050e-17 1.750125979680136857e-15
1.598992147760921171e+03 -9.199533849864384916e-17 1.750229350674866129e-15
1.599004396498710321e+03 -9.531334336402768106e-17 1.750332134078534530e-15
1.599016645236499471e+03 -9.556474761841027940e-17 1.750435307451151522e-15
1.599028893974288621e+03 9.538602607142230624e-16 2.193786551990006085e-15
1.599041142712077772e+03 -2.090605393441525156e-17 1.753396677977624375e-15
1.599053391449866922e+03 -9.914189344673259285e-17 1.750744243178788729e-15
1.599065640187656072e+03 -9.914731313410601564e-17 1.750847416519267921e-15
1.599077888925445222e+03 9.508218554143622044e-16 2.191998579608545901e-15
