# obs_wvl flux error
1.665000000000000000e+03 1.885857870689497395e-14 1.255786822456934210e-14
1.666373468741566057e+03 -1.780455193617611175e-14 1.268548876469590003e-14
1.667746937483132115e+03 -1.728162733603318969e-15 3.021600450763461113e-15
1.669120406224698172e+03 -3.339305282977222473e-15 2.285080241945329024e-15
1.670493874966264229e+03 -6.897490799388968698e-15 2.335861679849194003e-15
1.671867343707830287e+03 8.325198166828579583e-15 2.026368164594262572e-15
1.673240812449396344e+03 1.002632558835376855e-14 2.061214675596449217e-15
1.674614281190962402e+03 1.250378712392131211e-15 2.091117825080088260e-15
1.675987749932528459e+03 6.677335163246098367e-16 2.357285091802706309e-15
1.677361218674094516e+03 -7.675017930405365052e-15 2.594654972388401779e-15
1.678734687415660574e+03 -3.835655338871987027e-15 1.997587632682437314e-15
1.680108156157226631e+03 -4.479366531234924558e-15 2.061876760954225558e-15
1.681481624898792688e+03 -1.329994096389648639e-16 1.566806775727596687e-15
1.682855093640358746e+03 3.818676593905502610e-15 1.485832588539580479e-15
1.684228562381924803e+03 1.769967633172109173e-15 1.431356995243650932e-15
1.685602031123490860e+03 3.342554494366477078e-15 1.345978679959403515e-15
1.686975499865056918e+03 2.669011222439188816e-15 1.225169573254939714e-15
1.688348968606622975e+03 1.963782532253410433e-15 1.223818079964356884e-15
1.689722437348189032e+03 -2.858804017776583997e-15 1.368816595550835978e-15
1.691095906089755090e+03 -1.383182219063118339e-15 1.393793990839411887e-15
1.692469374831321147e+03 2.369114693203136473e-15 1.284595381973344086e-15
1.693842843572887205e+03 -5.644465315488681037e-16 1.160136277051347226e-15
1.695216312314453262e+03 6.766627544335031392e-16 1.246536687001170258e-15
1.696589781056019319e+03 3.239304138510001143e-15 1.177557686411609567e-15
1.697963249797585377e+03 1.474251481434928100e-15 1.163936562995984426e-15
1.699336718539151434e+03 1.190035436664251707e-15 1.292627312966635832e-15
1.700710187280717491e+03 3.272785713732793623e-15 1.675608081987685306e-15
1.702083656022283549e+03 -3.494356506387766555e-15 1.717461819393223548e-15
1.703457124763849606e+03 3.444983234873425819e-16 1.009940454336783057e-15
1.704830593505415663e+03 6.754189317792344635e-17 1.094774957369634950e-15
1.706204062246981721e+03 1.289484701782510834e-15 1.038662887523898416e-15
1.707577530988547778e+03 3.837546824861023755e-18 1.030748577350090095e-15
1.708950999730113836e+03 -2.055482539712762294e-15 1.086202223177254219e-15
1.710324468471679893e+03 -1.020838999441138218e-15 9.464091550416245257e-16
1.711697937213245950e+03 2.657470210567560702e-15 9.956940069073117251e-16
1.713071405954812008e+03 1.470394835198356051e-15 1.212892903954994127e-15
1.714444874696378065e+03 2.049411671501315900e-15 1.392066946974924434e-15
1.715818343437944122e+03 2.694405795230542531e-15 1.092163597651786427e-15
1.717191812179510180e+03 4.656708715100000077e-15 8.576514980292470472e-16
1.718565280921076237e+03 1.646521882680887420e-15 8.475827324152588460e-16
1.719938749662642294e+03 -2.913838541681914952e-16 7.820519284709350364e-16
1.721312218404208352e+03 2.637076091160314760e-15 9.294776311677883689e-16
1.722685687145774409e+03 1.484751494453613681e-15 8.321645729817880831e-16
1.724059155887340467e+03 1.027246689755732852e-15 7.409342399525565419e-16
1.725432624628906524e+03 1.710753929030718445e-15 7.453775867293308539e-16
1.726806093370472581e+03 -3.359569009178447477e-16 7.582624922296677848e-16
1.728179562112038639e+03 1.067028105985560267e-16 7.450449423659278343e-16
1.729553030853604696e+03 -1.717260288942565256e-15 6.962917726519288876e-16
1.730926499595170753e+03 -4.692908952698817559e-16 7.049244627454278504e-16
1.732299968336736811e+03 1.688604611714965883e-15 6.836505057233182821e-16
1.733673437078302868e+03 -5.185796328335255636e-16 7.383339925760557363e-16
1.735046905819868925e+03 -1.264369018091833283e-15 7.859703128497172966e-16
1.736420374561434983e+03 1.861541797370791628e-15 7.413962953088650313e-16
1.737793843303001040e+03 1.049477867114770462e-15 6.949240464923580092e-16
1.739167312044567097e+03 -1.864211575343716642e-15 7.503160844864718118e-16
1.740540780786133155e+03 -4.512459858321742196e-16 7.467838806309419661e-16
1.741914249527699212e+03 1.201079496856523671e-15 6.541810628827460600e-16
1.743287718269265270e+03 -1.186032699737458436e-16 7.107364006564713547e-16
1.744661187010831327e+03 -3.209821604984956688e-15 8.643950267895923099e-16
1.746034655752397384e+03 -1.716108835379845160e-16 6.953431834111844316e-16
1.747408124493963442e+03 1.650085446171087669e-15 6.146167192203943216e-16
1.748781593235529499e+03 -1.871856611492139182e-17 6.478315698521460989e-16
1.750155061977095556e+03 -2.677234841170614201e-15 8.650290476388595865e-16
1.751528530718661614e+03 -1.788954036744793945e-15 8.637832935972958605e-16
1.752901999460227671e+03 1.295467836728691566e-15 6.386918372318879660e-16
1.754275468201793728e+03 -1.050430992326550797e-15 6.507398231715438108e-16
1.755648936943359786e+03 8.048100127021011882e-16 5.951008201084294213e-16
1.757022405684925843e+03 3.459956167256350665e-15 5.942458303394661785e-16
1.758395874426491901e+03 8.888263719969512412e-16 5.945859052982397237e-16
1.759769343168057958e+03 -1.013942428301484673e-15 6.165769066183433326e-16
1.761142811909624015e+03 -9.082481609863546515e-16 7.961532239389901099e-16
1.762516280651190073e+03 -3.495463906466838626e-15 8.650668589352587050e-16
1.763889749392756130e+03 -2.595216814586434322e-15 5.843491897075580875e-16
1.765263218134322187e+03 -3.762626679799609581e-16 5.907837936372618317e-16
1.766636686875888245e+03 7.528372643574372163e-16 6.005781155399881412e-16
1.768010155617454302e+03 4.627260398306419867e-15 6.045391281033476587e-16
1.769383624359020359e+03 4.989715155287293909e-15 6.081084030381746422e-16
1.770757093100586417e+03 1.001024808982399202e-16 5.446772960034608525e-16
1.772130561842152474e+03 1.654459818643576255e-15 5.198158938732644308e-16
1.773504030583718531e+03 1.470468292737222230e-15 4.966664011731225462e-16
1.774877499325284589e+03 4.587123859338386277e-16 5.314790757455642538e-16
1.776250968066850646e+03 1.459989801290445807e-15 4.997881100063029267e-16
1.777624436808416704e+03 4.337215159326025034e-16 4.961635821772962381e-16
1.778997905549982761e+03 -1.427313469228644590e-15 5.153587816256772361e-16
1.780371374291548818e+03 -1.050750976346096656e-15 6.313254807405194802e-16
1.781744843033114876e+03 -3.585125630174929155e-16 6.312975987407603301e-16
1.783118311774680933e+03 -3.508961018441201919e-16 5.077054814721277944e-16
1.784491780516246990e+03 -3.115724812764636695e-16 5.024316316855294782e-16
1.785865249257813048e+03 -1.913996539869200721e-15 6.799290788989263432e-16
1.787238717999379105e+03 -1.459646422343862552e-15 7.161460924481611147e-16
1.788612186740945162e+03 -4.499373806385523826e-16 4.623231269080426377e-16
1.789985655482511220e+03 -7.257266157426498073e-16 4.772646170832822010e-16
1.791359124224077277e+03 3.129356204663053077e-16 4.715182476696211066e-16
1.792732592965643335e+03 -1.609575390225407742e-16 4.473115737270811036e-16
1.794106061707209392e+03 1.561276236449987764e-15 4.840517486195068532e-16
1.795479530448775449e+03 1.551227486030849139e-15 4.696696856913334942e-16
1.796852999190341507e+03 -1.684831379604850653e-15 4.921815092165800330e-16
1.798226467931907564e+03 -2.366211739413594654e-15 5.714001914146791918e-16
1.799599936673473621e+03 -5.676581926773401404e-16 4.546178201173642382e-16
1.800973405415039679e+03 1.015446183870331521e-15 4.164403427168975582e-16
1.802346874156605736e+03 7.428525129646918012e-16 4.003984520772233993e-16
1.803720342898171793e+03 -4.233704178328079799e-16 3.659689248685969295e-16
1.805093811639737851e+03 -1.271813841607220427e-15 4.764582521763225555e-16
1.806467280381303908e+03 1.750612646449380678e-16 5.067606655905046443e-16
1.807840749122869966e+03 3.747681870482493902e-16 4.829696175539659810e-16
1.809214217864436023e+03 3.752663994414500330e-16 4.408526251594720534e-16
1.810587686606002080e+03 1.658191497669268209e-15 3.763824457631404089e-16
1.811961155347568138e+03 1.492827469148924696e-15 3.698424102017964083e-16
1.813334624089134195e+03 8.490557456439720183e-16 3.779993028970802919e-16
1.814708092830700252e+03 -1.277796772693833050e-16 4.318522388045766491e-16
1.816081561572266310e+03 4.352283831156384587e-16 4.367850730861531298e-16
1.817455030313832367e+03 -5.875642646222508470e-16 4.103196357080951527e-16
