# TESS-SN oe2bb2010 G230LB CCD z=0.007522 a2center=141.3 extrsize=7 exptime=920.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
1657.5005 1669.9682 3.734855e-15 1.164706e-14 -1.074991e-02 512 0
1658.8598 1671.3377 -1.776650e-14 1.010301e-14 -5.040770e-02 16384 0
1660.2192 1672.7073 4.312437e-14 1.112418e-14 5.040620e-02 0 0
1661.5785 1674.0769 -9.648161e-15 1.093726e-14 -2.943180e-02 16400 0
1662.9379 1675.4465 7.126956e-14 1.223522e-14 1.079718e-01 0 0
1664.2973 1676.8162 -1.545653e-14 9.374159e-15 -5.062561e-02 16384 0
1665.6567 1678.1858 -1.779654e-14 1.006670e-14 -6.034913e-02 16384 0
1667.0162 1679.5555 5.470620e-14 1.000109e-14 8.669783e-02 0 0
1668.3756 1680.9251 -5.464941e-14 1.550270e-14 -1.982619e-01 16400 0
1669.7351 1682.2948 6.447910e-14 1.187312e-14 1.159195e-01 16 0
1671.0946 1683.6645 3.614456e-15 7.740818e-15 -5.648125e-03 0 0
1672.4541 1685.0343 -3.608392e-15 7.714197e-15 -1.860669e-02 0 0
1673.8136 1686.4040 -6.916747e-15 7.050707e-15 -2.838724e-02 16384 0
1675.1731 1687.7738 1.261554e-15 7.165642e-15 -9.573244e-03 0 0
1676.5327 1689.1435 2.053211e-15 6.946635e-15 -7.880017e-03 0 0
1677.8922 1690.5133 -8.345971e-15 6.727782e-15 -3.714075e-02 16384 0
1679.2518 1691.8831 -1.065985e-14 6.218776e-15 -4.863139e-02 16384 0
1680.6114 1693.2530 -8.028442e-15 6.291980e-15 -3.752180e-02 16384 0
1681.9710 1694.6228 1.143067e-14 6.228968e-15 1.430564e-02 0 0
1683.3306 1695.9927 1.232540e-14 6.840460e-15 1.715028e-02 0 0
1684.6903 1697.3625 2.623208e-14 7.653167e-15 5.452307e-02 0 0
1686.0499 1698.7324 8.971428e-15 8.392601e-15 1.000240e-02 16 0
1687.4096 1700.1023 6.235125e-14 8.287538e-15 1.720316e-01 0 0
1688.7693 1701.4722 9.570369e-15 5.928821e-15 1.256219e-02 16 0
1690.1290 1702.8422 -2.388561e-14 6.638284e-15 -1.294170e-01 16400 0
1691.4887 1704.2121 1.621582e-14 5.549258e-15 3.230939e-02 0 0
1692.8485 1705.5821 -2.290094e-14 6.639627e-15 -1.287799e-01 16400 0
1694.2082 1706.9521 -2.796673e-15 6.332768e-15 -1.875270e-02 16 0
1695.5680 1708.3221 -1.754684e-14 7.465388e-15 -1.022220e-01 16400 0
1696.9278 1709.6921 -1.191111e-14 5.219002e-15 -7.058475e-02 16384 0
1698.2876 1711.0621 -7.017094e-15 4.780889e-15 -4.227980e-02 16384 0
1699.6474 1712.4321 2.705838e-15 5.612300e-15 -3.738366e-03 16 0
1701.0072 1713.8022 -1.450215e-14 7.011400e-15 -9.023695e-02 16400 0
1702.3671 1715.1723 1.045869e-14 5.438969e-15 2.046625e-02 0 0
1703.7269 1716.5424 3.475448e-14 5.542846e-15 1.079390e-01 0 0
1705.0868 1717.9125 2.975614e-14 5.105530e-15 9.054299e-02 0 0
1706.4467 1719.2826 3.536680e-15 4.383870e-15 -3.750697e-04 0 0
1707.8066 1720.6527 -5.662278e-15 4.587721e-15 -3.797188e-02 16384 0
1709.1665 1722.0229 -4.842004e-15 4.331816e-15 -3.293524e-02 16384 0
1710.5265 1723.3931 6.173798e-15 4.298011e-15 8.948246e-03 0 0
1711.8864 1724.7632 1.416849e-14 4.623571e-15 3.768998e-02 0 0
1713.2464 1726.1334 -1.272816e-14 4.839203e-15 -9.022551e-02 16384 0
1714.6064 1727.5036 -2.839943e-15 4.835759e-15 -2.040307e-02 16400 0
1715.9664 1728.8739 -1.829317e-14 4.784062e-15 -1.331734e-01 16400 0
1717.3264 1730.2441 -3.565138e-15 3.878266e-15 -2.629563e-02 16384 0
1718.6864 1731.6144 -7.045855e-15 4.310908e-15 -5.264365e-02 16384 0
1720.0465 1732.9847 1.222658e-14 4.274748e-15 3.438237e-02 0 0
1721.4065 1734.3549 5.943498e-15 4.839087e-15 1.061650e-02 0 0
1722.7666 1735.7252 -3.402434e-14 7.367790e-15 -2.640244e-01 16400 0
1724.1267 1737.0956 -1.782337e-14 1.553935e-14 -1.400247e-01 16400 0
1725.4868 1738.4659 1.073077e-14 4.258022e-15 3.073503e-02 0 0
1726.8469 1739.8362 -5.634827e-14 7.676838e-15 -4.535771e-01 16400 0
1728.2070 1741.2066 4.782908e-15 3.702664e-15 7.544834e-03 0 0
1729.5672 1742.5770 -7.226983e-15 4.120986e-15 -5.957704e-02 16400 0
1730.9274 1743.9474 2.239773e-16 3.878924e-15 -9.835729e-03 0 0
1732.2875 1745.3178 -5.393243e-16 3.505970e-15 -1.271559e-02 0 0
1733.6477 1746.6882 9.857518e-15 3.593971e-15 3.025946e-02 0 0
1735.0079 1748.0587 5.259971e-15 3.472462e-15 1.081671e-02 0 0
1736.3681 1749.4291 7.687789e-16 3.355653e-15 -7.502183e-03 0 0
1737.7284 1750.7996 -3.323692e-15 3.398012e-15 -2.936074e-02 16384 0
1739.0886 1752.1701 -2.220037e-15 3.441050e-15 -1.983311e-02 16384 0
1740.4489 1753.5406 1.087967e-14 3.371695e-15 3.773350e-02 0 0
1741.8092 1754.9111 3.859313e-15 3.174932e-15 6.017637e-03 0 0
1743.1695 1756.2816 8.950296e-15 3.367267e-15 2.964576e-02 0 0
1744.5298 1757.6521 2.577784e-14 3.868723e-15 1.190552e-01 0 0
1745.8901 1759.0227 -3.315429e-14 4.643676e-15 -3.129330e-01 16400 0
1747.2504 1760.3933 7.256912e-15 3.386212e-15 2.286568e-02 0 0
1748.6108 1761.7638 8.016502e-15 3.162826e-15 2.698553e-02 0 0
1749.9712 1763.1344 -4.545948e-14 5.842072e-15 -4.430248e-01 16400 0
1751.3315 1764.5051 -9.536534e-15 3.457472e-15 -9.391798e-02 16400 0
1752.6919 1765.8757 -1.171511e-15 2.930549e-15 -1.545678e-02 0 0
