# obs_wvl flux error
2.977000000000000000e+03 -1.528440722105407694e-16 1.386478881374397748e-16
2.979747606938670287e+03 5.799690919446753516e-16 1.096388382703245771e-16
2.982495213877340575e+03 7.618596393133266418e-16 1.004164829452443658e-16
2.985242820816010862e+03 4.836320446759391530e-16 9.011315542868980447e-17
2.987990427754681150e+03 1.173628992202051660e-15 1.600129563498448143e-16
2.990738034693351437e+03 3.925159708224869415e-16 1.458628910339681630e-16
2.993485641632021725e+03 3.508790700307444870e-16 9.550111380555297322e-17
2.996233248570692012e+03 1.691988134812247701e-16 8.678608642441356253e-17
2.998980855509362300e+03 1.940527682890360939e-16 8.244079199507533603e-17
3.001728462448032587e+03 -1.465536232226241548e-17 9.907492697630188227e-17
3.004476069386702875e+03 -7.970777550765165267e-15 1.339516995271203398e-16
3.007223676325373162e+03 -2.179738370814334499e-15 1.108556114639604183e-16
3.009971283264043450e+03 3.376512376877524928e-16 8.055453243992799043e-17
3.012718890202713737e+03 6.196753822369149736e-16 8.306061693058329972e-17
3.015466497141384025e+03 5.564910575594587176e-16 8.160784475951796166e-17
3.018214104080054312e+03 5.496562715884616811e-16 7.838422370798822141e-17
3.020961711018724600e+03 4.749771459046724904e-16 7.612216066837409729e-17
3.023709317957394887e+03 4.815658349943610390e-16 7.265317915593266268e-17
3.026456924896065175e+03 5.442776771437088670e-16 7.284262997779455023e-17
3.029204531834735462e+03 1.343053261683343192e-15 8.271286456444020728e-17
3.031952138773405750e+03 1.563586173682466733e-15 8.055058720508729905e-17
3.034699745712076037e+03 7.351972086265404135e-16 6.893043956233699928e-17
3.037447352650746325e+03 4.158700234712625434e-16 6.773730569822306439e-17
3.040194959589416612e+03 4.617986564033914148e-16 7.415194834216025661e-17
3.042942566528086900e+03 3.721588013122083242e-16 8.986933868119810547e-17
3.045690173466757187e+03 6.520856272399294313e-16 7.701740310696305665e-17
3.048437780405427475e+03 5.101196279860644981e-16 6.801344839806088928e-17
3.051185387344097762e+03 -6.209084520149135027e-16 7.665648684991418742e-17
3.053932994282768050e+03 -3.665311361081262303e-16 6.998615428435324471e-17
3.056680601221438337e+03 3.482524908746660298e-16 6.017437392443897635e-17
3.059428208160108625e+03 6.186346632740874189e-16 6.190604136576331836e-17
3.062175815098778912e+03 2.898360056962727658e-16 7.548261684622582321e-17
3.064923422037449200e+03 2.082550944134591400e-16 6.791917510334516945e-17
3.067671028976119487e+03 2.025069264305802426e-16 6.094340722523893376e-17
3.070418635914789775e+03 4.631772582616402395e-16 5.775713294505408449e-17
3.073166242853460062e+03 4.342836954356784153e-16 5.536269936403547033e-17
3.075913849792130350e+03 2.556677310004260395e-16 5.529510616212691618e-17
3.078661456730800637e+03 2.724468774842998830e-16 5.318508290013617173e-17
3.081409063669470925e+03 4.545342524440233528e-16 5.348543175003032952e-17
3.084156670608141212e+03 3.252293545064558594e-16 7.673169907657263139e-17
3.086904277546811500e+03 3.637181157591104123e-16 6.574335648163231205e-17
3.089651884485481787e+03 6.180531624279417741e-16 5.672154814502849308e-17
3.092399491424152075e+03 6.998593018467276436e-16 5.667315902485038323e-17
3.095147098362822362e+03 4.989022169928543170e-16 7.837878283090742911e-17
3.097894705301492650e+03 3.429090977608726031e-16 7.313865744423607478e-17
3.100642312240162937e+03 4.732082691602407713e-16 5.521072367851548976e-17
3.103389919178833225e+03 4.768837585000573937e-16 5.117449455160282641e-17
3.106137526117503512e+03 6.240120144265996769e-16 5.088364000747429520e-17
3.108885133056173800e+03 7.281908887475253862e-16 5.285215090200900556e-17
3.111632739994844087e+03 6.118911407260714831e-16 5.245672938979947125e-17
3.114380346933514375e+03 3.947117847259468939e-16 5.032227963482005954e-17
3.117127953872184662e+03 3.909932959443028083e-16 4.998318973095735451e-17
3.119875560810854950e+03 5.055373052959358623e-16 5.346476778681677392e-17
3.122623167749525237e+03 5.139288358074221748e-16 6.479741782726119907e-17
3.125370774688195525e+03 5.188569426558957496e-16 5.699145121721057754e-17
3.128118381626865812e+03 3.521616664914399844e-16 5.151403252856575562e-17
3.130865988565536099e+03 4.787335665511787512e-16 5.069094621609939265e-17
3.133613595504206387e+03 -5.335954994295453483e-17 7.505973847940367859e-17
3.136361202442876674e+03 2.082970348029940130e-16 6.467354428447935896e-17
3.139108809381546962e+03 6.352738201661387106e-16 5.063669932634185574e-17
3.141856416320217249e+03 5.902679176227395636e-16 4.855255036530326568e-17
3.144604023258887537e+03 5.406792137797850067e-16 4.921546056323522863e-17
3.147351630197557824e+03 4.755303916655366103e-16 4.879287458569849255e-17
3.150099237136228112e+03 5.183233147936849713e-16 5.423028725079697823e-17
3.152846844074898399e+03 6.701640799608057245e-16 6.257226168403243975e-17
3.155594451013568687e+03 9.164866256638423718e-17 6.440060295077392939e-17
3.158342057952238974e+03 1.703657252643811128e-16 5.828222610825396055e-17
3.161089664890909262e+03 5.115193700967474715e-16 4.814525602671315579e-17
3.163837271829579549e+03 6.491159336388978430e-16 4.780991429157203417e-17
3.166584878768249837e+03 4.606441668838993036e-16 4.947874170592281069e-17
3.169332485706920124e+03 5.331391934695444360e-16 4.747371386780353963e-17
3.172080092645590412e+03 2.716519321343016697e-16 5.736903904412079455e-17
3.174827699584260699e+03 2.978095491032772890e-16 5.458036536301749345e-17
3.177575306522930987e+03 2.322117244592775266e-16 4.972290950969791686e-17
3.180322913461601274e+03 5.045951975094220877e-16 4.677366728141031540e-17
3.183070520400271562e+03 6.193542230213495196e-16 4.363139991046311048e-17
3.185818127338941849e+03 5.924594997329787269e-16 4.387234180772771900e-17
3.188565734277612137e+03 7.720726007406760644e-16 4.601238178756627843e-17
3.191313341216282424e+03 9.207421359590454269e-17 9.259849772278027580e-17
3.194060948154952712e+03 3.714791311561320428e-16 6.377289144788953816e-17
3.196808555093622999e+03 5.031041611844301485e-16 4.428423584197975746e-17
