# TESS-SN oe2bb3020 G430L CCD z=0.007522 a2center=510.3 extrsize=17 exptime=920.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
2874.3216 2895.9422 -4.284059e-15 4.292458e-15 -5.065947e-02 16912 0
2877.0454 2898.6865 -1.088521e-14 3.371470e-15 -1.479472e-01 16896 0
2879.7692 2901.4308 -2.897006e-15 3.126462e-15 -4.450202e-02 16912 0
2882.4931 2904.1752 1.743331e-15 2.645973e-15 1.551798e-02 528 0
2885.2169 2906.9195 9.861342e-15 2.596375e-15 1.388544e-01 512 0
2887.9408 2909.6639 5.871170e-17 2.318939e-15 -3.289527e-03 512 0
2890.6648 2912.4083 -6.334154e-15 2.161893e-15 -1.500503e-01 16912 0
2893.3887 2915.1528 -9.816653e-15 2.291241e-15 -2.594120e-01 16912 0
2896.1127 2917.8973 -4.148729e-15 1.678767e-15 -1.221625e-01 16912 0
2898.8367 2920.6417 -1.066972e-14 2.121389e-15 -3.519163e-01 16912 0
2901.5607 2923.3863 -9.370485e-16 1.244450e-15 -3.455687e-02 16896 0
2904.2848 2926.1308 -2.542464e-15 1.247420e-15 -1.058799e-01 16912 0
2907.0089 2928.8754 -2.409028e-16 1.020777e-15 -1.459875e-02 512 0
2909.7330 2931.6200 6.143013e-16 8.473016e-16 1.798160e-02 512 0
2912.4571 2934.3646 7.306267e-16 8.055767e-16 2.650233e-02 512 0
2915.1812 2937.1092 5.277641e-16 6.434467e-16 2.080345e-02 512 0
2917.9054 2939.8539 -6.947946e-16 6.093424e-16 -5.445327e-02 16896 0
2920.6296 2942.5986 -2.393511e-16 5.632116e-16 -2.168794e-02 528 0
2923.3539 2945.3433 1.054178e-15 4.819689e-16 7.188845e-02 512 0
2926.0781 2948.0881 -4.262883e-17 4.139897e-16 -9.644488e-03 512 0
2928.8024 2950.8328 7.909507e-16 4.328158e-16 6.575532e-02 528 0
2931.5267 2953.5776 -5.756596e-16 3.402576e-16 -7.706977e-02 16896 0
2934.2510 2956.3224 5.133560e-16 3.546123e-16 4.991041e-02 528 0
2936.9754 2959.0673 -2.162196e-17 2.927110e-16 -8.648948e-03 528 0
