# TESS-SN oe2b05020 G430L CCD z=0.007522 a2center=510.9 extrsize=17 exptime=868.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
2872.0676 2893.6713 5.288551e-15 5.658095e-15 1.404499e-02 528 0
2874.7914 2896.4155 -1.718099e-15 4.049626e-15 -4.194563e-02 512 0
2877.5151 2899.1598 -3.705751e-15 3.884246e-15 -6.177124e-02 528 0
2880.2389 2901.9041 -1.900279e-14 3.956421e-15 -2.987846e-01 16912 0
2882.9628 2904.6484 7.480156e-15 3.057065e-15 7.984035e-02 512 0
2885.6866 2907.3928 -3.389626e-15 2.513120e-15 -7.231451e-02 512 0
2888.4105 2910.1371 -6.115538e-15 2.488123e-15 -1.328892e-01 16912 0
2891.1344 2912.8815 -9.700371e-15 2.653364e-15 -2.352095e-01 16912 0
2893.8583 2915.6260 -4.619357e-16 1.970746e-15 -2.983014e-02 528 0
2896.5823 2918.3704 1.662222e-15 2.183026e-15 2.058445e-02 528 0
2899.3063 2921.1149 -1.330490e-15 1.499851e-15 -6.088523e-02 512 0
2902.0303 2923.8594 -4.786046e-15 1.461892e-15 -1.811055e-01 16912 0
2904.7543 2926.6039 -5.135177e-16 1.203126e-15 -4.330550e-02 512 0
2907.4784 2929.3484 -2.122111e-15 9.979616e-16 -1.035977e-01 512 0
2910.2025 2932.0930 -1.171399e-15 8.820095e-16 -7.531056e-02 512 0
2912.9266 2934.8376 -5.618456e-17 7.619740e-16 -2.905148e-02 512 0
2915.6507 2937.5822 4.629179e-17 6.987787e-16 -2.376284e-02 512 0
2918.3749 2940.3269 -2.120376e-16 6.591671e-16 -3.932301e-02 528 0
2921.0991 2943.0716 6.769629e-16 5.757462e-16 2.149566e-02 512 0
2923.8233 2945.8163 -2.260032e-16 5.026226e-16 -4.362172e-02 512 0
2926.5475 2948.5610 2.367977e-15 5.591673e-16 1.870441e-01 528 0
2929.2718 2951.3057 2.244513e-15 5.065069e-16 1.970860e-01 528 0
2931.9960 2954.0505 1.033554e-15 4.635746e-16 8.508082e-02 528 0
2934.7204 2956.7953 1.128549e-16 3.766261e-16 -1.294783e-02 528 0
2937.4447 2959.5401 1.303365e-15 4.893751e-16 1.413650e-01 528 0
2940.1690 2962.2850 -7.698146e-16 4.923556e-16 -1.337821e-01 16912 0
2942.8934 2965.0299 8.992638e-16 3.790909e-16 1.052950e-01 528 0
2945.6178 2967.7748 1.207479e-15 3.192824e-16 1.623270e-01 528 0
2948.3423 2970.5197 1.176364e-15 5.087497e-16 1.659037e-01 528 0
