# obs_wvl flux error
2.976000000000000000e+03 1.451153167303955438e-16 1.107296818278776993e-16
2.981495072980389978e+03 2.323407181339666502e-16 8.136099521372783341e-17
2.986990145960779955e+03 6.834684852291253573e-16 1.473121309127862277e-16
2.992485218941169933e+03 1.492820131902115460e-16 7.813735988346889336e-17
2.997980291921559910e+03 7.031906152627068710e-19 7.841525577904263553e-17
3.003475364901949888e+03 -1.389994946926415911e-14 1.865403896226390663e-16
3.008970437882339866e+03 -3.340651638239693237e-16 7.969045975649705127e-17
3.014465510862729843e+03 3.442294335900221421e-16 6.328033501463617135e-17
3.019960583843119821e+03 2.693020417132147701e-16 5.800222136847508758e-17
3.025455656823509798e+03 2.498225501331360739e-16 6.674057013981966344e-17
3.030950729803899776e+03 2.778323183546046689e-16 6.308281938656758930e-17
3.036445802784289754e+03 1.212645152955160937e-16 5.583413533005382602e-17
3.041940875764679731e+03 1.751269130303008589e-17 8.468420858184325053e-17
3.047435948745069709e+03 -3.475315236731952161e-17 5.819216226495311988e-17
3.052931021725459686e+03 1.117510954471760264e-16 5.573857553884817227e-17
3.058426094705849664e+03 7.402787384908969852e-17 5.281781173175801479e-17
3.063921167686239642e+03 -4.221010804948672602e-17 5.199645465827802626e-17
3.069416240666629619e+03 9.186371640745783153e-17 4.516304133084982825e-17
3.074911313647019597e+03 6.773022138308577547e-18 4.263741070714706789e-17
3.080406386627409574e+03 7.071328782537940553e-17 4.137204662485181475e-17
3.085901459607799552e+03 2.616169670250497411e-17 4.353902582321751490e-17
3.091396532588189530e+03 9.473032558851794768e-17 4.104324994433776883e-17
3.096891605568579507e+03 2.012941978380180938e-16 4.231048026572326966e-17
3.102386678548969485e+03 3.502208759637349886e-16 4.864749469566400199e-17
3.107881751529359462e+03 2.630151596302916257e-16 4.651140996496638076e-17
3.113376824509749440e+03 1.895302679174815317e-16 4.256271930922006805e-17
3.118871897490139418e+03 1.203005779527203433e-16 5.041230543114033528e-17
3.124366970470529395e+03 2.259953664002863055e-16 5.072684795929936720e-17
3.129862043450919373e+03 1.324959798615000532e-16 5.578071341284244987e-17
3.135357116431309350e+03 1.555854413482064895e-16 5.447555820768000441e-17
3.140852189411699328e+03 2.543693210268406212e-16 4.004048291579651501e-17
3.146347262392089306e+03 4.731678317374272692e-17 3.761725971149938789e-17
3.151842335372479283e+03 -2.058702489511945896e-17 4.191924110706332802e-17
3.157337408352869261e+03 6.092802632253254888e-18 4.436637299230609552e-17
3.162832481333259238e+03 1.006260074193132228e-16 4.027705612922223824e-17
