# obs_wvl flux error
1.579000000000000000e+03 2.100202607310808212e-13 4.483191704159061874e-13
1.580548191257964845e+03 9.193772075758150157e-14 2.135128889270941261e-13
1.582096382515929690e+03 2.151764731562374698e-14 3.249504713452199750e-14
1.583644573773894535e+03 8.951490582479082692e-15 1.806190780210950051e-14
1.585192765031859381e+03 -1.933297017309953688e-14 1.050858565070140762e-14
1.586740956289824226e+03 -7.911622885224298434e-15 8.707737550926828158e-15
1.588289147547789071e+03 -1.845996816427124518e-15 7.551102399747037881e-15
1.589837338805753916e+03 -1.536409607596455526e-15 6.304669300392500188e-15
1.591385530063718761e+03 -6.681597956872011024e-15 5.007136038741116313e-15
1.592933721321683606e+03 -6.002165684739964086e-15 4.423471792079818114e-15
1.594481912579648451e+03 7.683326084170720297e-16 4.435823116204152584e-15
1.596030103837613296e+03 3.299106449647974694e-15 4.066955303264331848e-15
1.597578295095578142e+03 4.885545824181567697e-15 3.750268633498157485e-15
1.599126486353542987e+03 6.329739139315822061e-15 3.532759660381591644e-15
1.600674677611507832e+03 3.639485350238484829e-15 2.974156066601027240e-15
1.602222868869472677e+03 2.531392599460984188e-15 2.634670817355773473e-15
1.603771060127437522e+03 -5.483306128143379507e-17 2.190187591640437670e-15
1.605319251385402367e+03 -1.682981121790786220e-15 1.829884808397908687e-15
1.606867442643367212e+03 1.287435295012940702e-16 1.829355646004872917e-15
1.608415633901332058e+03 4.130608087724185918e-16 1.718960154807587558e-15
1.609963825159296903e+03 -6.266460354524085346e-16 1.491426945700943163e-15
1.611512016417261748e+03 -1.024728019579011115e-15 1.340184052432274986e-15
1.613060207675226593e+03 3.804447016288506142e-16 1.366407153970079739e-15
1.614608398933191438e+03 7.591295432439982426e-16 1.286012577768343555e-15
1.616156590191156283e+03 7.162462749964008547e-16 1.181254993723693761e-15
1.617704781449121128e+03 7.671707388919295517e-16 1.109030725536543217e-15
1.619252972707085974e+03 6.466336016146466740e-16 1.056358331341970706e-15
1.620801163965050819e+03 -1.551379753351600662e-16 9.132733021927214651e-16
1.622349355223015664e+03 -2.680856362143201472e-16 8.516193341695470377e-16
1.623897546480980509e+03 -3.558012874221137395e-16 7.894079792839700974e-16
1.625445737738945354e+03 5.018389811422757893e-16 8.332953616545719486e-16
1.626993928996910199e+03 1.117286881404292641e-16 7.230977697684399027e-16
1.628542120254875044e+03 -2.900224119781383242e-16 6.594191959541745190e-16
1.630090311512839889e+03 5.243420846795352914e-16 7.206809435039086635e-16
1.631638502770804735e+03 2.976709330177721516e-16 6.518141467045958661e-16
1.633186694028769580e+03 1.082219376452615152e-15 7.027056084568899897e-16
1.634734885286734425e+03 7.485816421745165110e-16 6.329005893540383701e-16
1.636283076544699270e+03 7.402950785492365935e-16 6.174997685888461871e-16
1.637831267802664115e+03 6.780901552357640108e-16 5.792143191056701765e-16
1.639379459060628960e+03 5.504875164228441707e-17 5.117702001977015540e-16
1.640927650318593805e+03 -5.369464879270138786e-16 4.487486259165336014e-16
1.642475841576558651e+03 -8.698143522057074844e-16 3.970989787542591292e-16
1.644024032834523496e+03 -3.397413199376642566e-17 4.740468882446696569e-16
1.645572224092488341e+03 8.816703444338003350e-16 5.257761824556294665e-16
1.647120415350453186e+03 1.562167875791004722e-15 5.615537875683748465e-16
1.648668606608418031e+03 3.320090255403021967e-16 4.264374665319935613e-16
1.650216797866382876e+03 6.066154552151682354e-16 4.824781091279705227e-16
