# ZTF21AAABWZX oecz02030 G140L MAMA z=0.046 a2center=512.5 extrsize=11 exptime=2694.2 mode=fixed flags=low_detect,center_mismatch(513vs351)
# rest_wvl obs_wvl flux error net dq mask
1069.6886 1118.8943 0.000000e+00 0.000000e+00 6.222749e-04 2564 0
1070.2471 1119.4785 0.000000e+00 0.000000e+00 3.519924e-04 2564 0
1070.8056 1120.0627 0.000000e+00 0.000000e+00 2.504791e-04 2564 0
1071.3641 1120.6469 0.000000e+00 0.000000e+00 3.523424e-04 2564 0
1071.9226 1121.2311 0.000000e+00 0.000000e+00 8.010439e-04 2560 0
1072.4811 1121.8153 0.000000e+00 0.000000e+00 -4.332440e-06 512 0
1073.0396 1122.3994 0.000000e+00 0.000000e+00 -6.463765e-04 512 0
1073.5981 1122.9836 0.000000e+00 0.000000e+00 -2.742625e-05 512 0
1074.1566 1123.5678 0.000000e+00 0.000000e+00 3.339818e-04 512 0
1074.7151 1124.1520 0.000000e+00 0.000000e+00 3.718577e-04 512 0
1075.2736 1124.7362 0.000000e+00 0.000000e+00 -3.518623e-04 512 0
1075.8321 1125.3203 0.000000e+00 0.000000e+00 -6.819400e-05 512 0
1076.3906 1125.9045 0.000000e+00 0.000000e+00 -7.826434e-04 512 0
1076.9490 1126.4887 0.000000e+00 0.000000e+00 2.934036e-04 512 0
1077.5075 1127.0729 0.000000e+00 0.000000e+00 2.619132e-04 512 0
1078.0660 1127.6571 0.000000e+00 0.000000e+00 3.803060e-04 512 0
1078.6245 1128.2412 0.000000e+00 0.000000e+00 -8.136214e-04 512 0
1079.1830 1128.8254 0.000000e+00 0.000000e+00 -1.014319e-04 512 0
1079.7415 1129.4096 0.000000e+00 0.000000e+00 2.513677e-04 512 0
1080.2999 1129.9937 0.000000e+00 0.000000e+00 -7.798173e-04 512 0
1080.8584 1130.5779 0.000000e+00 0.000000e+00 -1.148974e-04 512 0
1081.4169 1131.1621 0.000000e+00 0.000000e+00 -4.978752e-04 512 0
1081.9754 1131.7462 0.000000e+00 0.000000e+00 -8.591145e-04 512 0
1082.5339 1132.3304 0.000000e+00 0.000000e+00 -2.062562e-04 512 0
1083.0923 1132.9146 0.000000e+00 0.000000e+00 -4.544120e-04 512 0
1083.6508 1133.4987 0.000000e+00 0.000000e+00 7.016729e-04 512 0
1084.2093 1134.0829 0.000000e+00 0.000000e+00 2.218152e-04 512 0
1084.7678 1134.6671 0.000000e+00 0.000000e+00 -5.311052e-04 512 0
1085.3262 1135.2512 0.000000e+00 0.000000e+00 -5.348352e-04 512 0
1085.8847 1135.8354 0.000000e+00 0.000000e+00 -9.099673e-04 512 0
1086.4432 1136.4195 0.000000e+00 0.000000e+00 5.846491e-04 512 0
1087.0016 1137.0037 0.000000e+00 0.000000e+00 -9.252187e-04 512 0
1087.5601 1137.5879 0.000000e+00 0.000000e+00 -9.324313e-04 512 0
1088.1186 1138.1720 -5.499185e-14 4.432500e-14 -5.028162e-04 0 0
1088.6770 1138.7562 -1.415616e-14 2.058890e-18 -9.479619e-04 0 0
1089.2355 1139.3403 -4.691098e-15 2.936810e-15 -5.857248e-04 0 0
1089.7940 1139.9245 -7.835352e-16 3.042803e-15 -1.432506e-04 0 0
1090.3524 1140.5086 -2.453465e-15 1.545708e-15 -5.917947e-04 0 0
1090.9109 1141.0928 -3.045270e-15 5.117320e-16 -9.130610e-04 0 0
1091.4693 1141.6769 -2.526203e-15 3.371358e-19 -9.793522e-04 0 0
1092.0278 1142.2611 8.914081e-16 1.515932e-15 4.244320e-04 0 0
1092.5863 1142.8452 -1.020372e-15 6.413547e-16 -6.116200e-04 0 0
1093.1447 1143.4294 -8.513082e-16 5.300164e-16 -6.161170e-04 0 0
1093.7032 1144.0135 -1.141258e-15 1.478837e-19 -1.005990e-03 0 0
1094.2616 1144.5977 1.010978e-16 6.214114e-16 1.052049e-04 0 0
1094.8201 1145.1818 1.005097e-15 7.404371e-16 1.226562e-03 0 0
1095.3785 1145.7659 -2.083782e-16 3.709106e-16 -2.920214e-04 0 0
1095.9370 1146.3501 -1.706309e-16 3.399167e-16 -2.712482e-04 0 0
1096.4954 1146.9342 7.644132e-17 3.708628e-16 1.359879e-04 0 0
1097.0539 1147.5184 -1.393249e-16 2.771917e-16 -2.744468e-04 0 0
1097.6123 1148.1025 -2.808173e-16 1.894428e-16 -6.069920e-04 0 0
1098.1708 1148.6866 1.584186e-16 3.037195e-16 3.733466e-04 0 0
1098.7292 1149.2708 -4.176449e-16 5.348683e-20 -1.066192e-03 0 0
1099.2877 1149.8549 -2.601364e-16 1.265179e-16 -7.188221e-04 0 0
1099.8461 1150.4390 -2.309159e-16 1.319581e-16 -6.870506e-04 0 0
1100.4046 1151.0232 -3.371130e-16 4.020133e-20 -1.081524e-03 0 0
1100.9630 1151.6073 -9.463334e-17 1.569561e-16 -3.258599e-04 0 0
1101.5214 1152.1914 1.130483e-16 2.047777e-16 4.174173e-04 0 0
1102.0799 1152.7756 -8.738955e-17 1.361633e-16 -3.446111e-04 0 0
1102.6383 1153.3597 -9.008676e-17 1.226613e-16 -3.780132e-04 0 0
1103.1968 1153.9438 -1.500643e-16 9.180411e-17 -6.677775e-04 0 0
