# obs_wvl flux error
1.587000000000000000e+03 1.475101912947641230e-14 7.833880137034045679e-15
1.588547903535798014e+03 -1.287964485362479919e-15 4.768082716994395250e-15
1.590095807071596028e+03 -6.436916325011814328e-15 3.996067960212929179e-15
1.591643710607394041e+03 -3.655777160170775107e-15 3.493251646864527787e-15
1.593191614143192055e+03 1.371714715364677082e-15 3.186609851408876737e-15
1.594739517678990069e+03 1.250797486272087110e-15 2.908787448311269826e-15
1.596287421214788083e+03 -3.348990569951077518e-15 2.395888318705519362e-15
1.597835324750586096e+03 -1.573949302572244468e-15 2.114199406790724143e-15
1.599383228286384110e+03 1.497823787866274290e-15 2.009984441497026826e-15
1.600931131822182124e+03 8.360651536347103258e-16 1.760039286901354590e-15
1.602479035357980138e+03 -1.926246861708289399e-16 1.539382620982897121e-15
1.604026938893778151e+03 -2.183889935564774745e-16 1.433168793923867700e-15
1.605574842429576165e+03 -4.732340280937284343e-16 1.258949986021767826e-15
1.607122745965374179e+03 -3.156350745452385861e-16 1.168275313964553383e-15
1.608670649501172193e+03 1.489694898381113120e-15 1.135393361522950293e-15
1.610218553036970206e+03 1.319069067098974399e-15 1.025047081253852298e-15
1.611766456572768220e+03 -4.473616147704132167e-16 8.990946294668435615e-16
1.613314360108566234e+03 -8.363612527951057822e-16 8.111260789499919619e-16
1.614862263644364248e+03 1.504918220121840930e-16 7.917818888407550696e-16
1.616410167180162262e+03 6.150150991363292235e-16 7.560375597481251934e-16
1.617958070715960275e+03 4.463075417506743355e-16 7.002519516075063714e-16
1.619505974251758289e+03 -2.886567608282328370e-16 6.156244468695800530e-16
1.621053877787556303e+03 -5.158514754054345902e-16 5.669295013608240269e-16
1.622601781323354317e+03 7.031048089835995110e-16 5.989288715462820134e-16
1.624149684859152330e+03 9.275494957001851959e-16 5.676472872357920032e-16
1.625697588394950344e+03 9.441155745643873142e-16 5.414628308158824578e-16
1.627245491930748358e+03 -6.602101138303138581e-18 4.719757270184997248e-16
1.628793395466546372e+03 1.177862775652452197e-17 4.520580220016725770e-16
1.630341299002344385e+03 -1.893846014458728243e-16 4.306221806162942158e-16
1.631889202538142399e+03 -4.499183793072502767e-16 3.888456086452082593e-16
1.633437106073940413e+03 -4.751163196638576803e-16 3.740694499691951618e-16
1.634985009609738427e+03 -4.812267323560904013e-16 3.606215002770736931e-16
1.636532913145536440e+03 5.290200412962464609e-17 3.663923938737800528e-16
1.638080816681334454e+03 3.706596395026803993e-16 3.547538521098968857e-16
1.639628720217132468e+03 4.152145379075813237e-16 3.561871259599214980e-16
1.641176623752930482e+03 6.144041203133912228e-17 3.264303413453082013e-16
1.642724527288728495e+03 4.950269088669105237e-17 3.146240903406598945e-16
1.644272430824526509e+03 -2.696181246380279241e-17 3.005641792288343135e-16
1.645820334360324523e+03 2.424988335305849055e-16 3.025107120381342945e-16
1.647368237896122537e+03 2.285558831057597437e-16 2.866843038820618437e-16
1.648916141431920551e+03 5.650017545962974391e-17 2.783501161810742207e-16
1.650464044967718564e+03 -1.372725447184951047e-16 2.613223434482135657e-16
1.652011948503516578e+03 -1.404191956259248347e-16 2.541574421924052251e-16
1.653559852039314592e+03 -1.427114038219092069e-16 2.520340748786923040e-16
1.655107755575112606e+03 -4.953700874987357371e-16 2.275643749516609162e-16
1.656655659110910619e+03 1.356404713622094772e-17 2.418446992421987112e-16
1.658203562646708633e+03 4.539074345178024433e-16 2.526596426220864929e-16
1.659751466182506647e+03 1.091861927460556023e-16 2.337395977166849063e-16
1.661299369718304661e+03 5.119629805094668794e-16 2.478552336154653624e-16
1.662847273254102674e+03 5.493791328339568179e-17 2.257342218873250158e-16
1.664395176789900688e+03 1.653530761975953568e-16 2.236741631720083039e-16
1.665943080325698702e+03 -5.921971960187159426e-17 2.115158615988559261e-16
1.667490983861496716e+03 -2.858747790433872080e-16 1.935459303410566933e-16
1.669038887397294729e+03 -3.973568516756838269e-16 1.873121157840080494e-16
1.670586790933092743e+03 -2.311753191014107576e-16 1.945225134122926346e-16
1.672134694468890757e+03 -2.132590634025353272e-16 1.882119869210152848e-16
1.673682598004688771e+03 -9.771838508916482060e-17 1.959972999105112223e-16
1.675230501540486785e+03 -8.301779978878167197e-17 1.909965939567173955e-16
1.676778405076284798e+03 2.801528767281805129e-16 2.018653749369652155e-16
1.678326308612082812e+03 2.019238374324900082e-16 1.953623058207138882e-16
1.679874212147880826e+03 1.742685488920136094e-16 1.918317877270201680e-16
1.681422115683678840e+03 2.688661476323138864e-16 1.913820793867724534e-16
1.682970019219476853e+03 4.067748259442160856e-16 1.953698529357455973e-16
1.684517922755274867e+03 1.157035399637247394e-16 1.784777849889212350e-16
1.686065826291072881e+03 -8.872451586173076963e-18 1.721342226157390121e-16
1.687613729826870895e+03 -2.209836317464491550e-16 1.596462999162602617e-16
1.689161633362668908e+03 1.967536607413248363e-16 1.805486328477550763e-16
1.690709536898466922e+03 5.863225154805025440e-18 1.637517766070518801e-16
1.692257440434264936e+03 1.043635775241932108e-16 1.701201864869752284e-16
1.693805343970062950e+03 -3.798510658044533623e-17 1.568085218730953673e-16
1.695353247505860963e+03 1.710015861427533278e-16 1.696692391589811330e-16
1.696901151041658977e+03 4.977475018857715712e-17 1.595525438965448018e-16
1.698449054577456991e+03 -9.879853558837279668e-17 1.512985927882729675e-16
1.699996958113255005e+03 -2.969154055626800277e-16 1.385824745158537759e-16
1.701544861649053018e+03 1.574432731688202770e-17 1.591020418904803983e-16
1.703092765184851032e+03 -3.177737871731376956e-17 1.497613176827124143e-16
1.704640668720649046e+03 1.415836340683252808e-16 1.551622595670266942e-16
1.706188572256447060e+03 -4.706954591373929999e-18 1.487947424329863962e-16
1.707736475792245074e+03 7.579530282382704590e-17 1.527333553411213589e-16
1.709284379328043087e+03 2.600695829403677261e-16 1.569025376346659839e-16
1.710832282863841101e+03 2.436282464648255076e-16 1.535710956731348859e-16
1.712380186399639115e+03 8.528795826170396121e-17 1.461911915542656702e-16
1.713928089935437129e+03 -1.383865602387363970e-16 1.347246428962444140e-16
1.715475993471235142e+03 1.715259348761869160e-16 1.478530607897815233e-16
1.717023897007033156e+03 4.811557470136605608e-17 1.415089487645489103e-16
1.718571800542831170e+03 9.498593334810107703e-17 1.433431206145552433e-16
1.720119704078629184e+03 2.140215425789892520e-16 1.461140007120660518e-16
1.721667607614427197e+03 -1.660443531582194934e-17 1.322991601268158035e-16
1.723215511150225211e+03 -4.764105257032455613e-17 1.321791915401646191e-16
