# obs_wvl flux error
1.579000000000000000e+03 4.025302751417242229e-14 4.974340836344625852e-14
1.582096685734580888e+03 6.398662125295407246e-15 1.623166187111017304e-14
1.585193371469161775e+03 9.835003988306188571e-15 6.251713810222192218e-15
1.588290057203742663e+03 -1.426568239305371634e-15 3.733830573104413064e-15
1.591386742938323550e+03 -1.690161805568767240e-15 2.720029386702825937e-15
1.594483428672904438e+03 5.229638636836079046e-16 2.159034942666311007e-15
1.597580114407485326e+03 1.441270763850026684e-16 1.704567301914609495e-15
1.600676800142066213e+03 -3.794101922095831268e-16 1.326380658173010320e-15
1.603773485876647101e+03 9.853835947088998672e-16 1.113736554184859434e-15
1.606870171611227988e+03 -1.439564072356329963e-16 8.998803717220461548e-16
1.609966857345808876e+03 3.189171142298899144e-16 7.549783996553324565e-16
1.613063543080389763e+03 1.932387123564609175e-17 6.388456823968116745e-16
1.616160228814970651e+03 8.733407876712751761e-16 5.668019673854683429e-16
1.619256914549551539e+03 2.264489042425385312e-16 4.855348254706384018e-16
1.622353600284132426e+03 4.650107013190458482e-16 4.258744056366489625e-16
1.625450286018713314e+03 4.163579714928213416e-16 3.842233180472398641e-16
1.628546971753294201e+03 -2.111908547974370166e-16 3.279334686289214893e-16
1.631643657487875089e+03 -4.914280857993453891e-16 2.848821871394622729e-16
1.634740343222455977e+03 4.837865740342442905e-17 2.724010275985026564e-16
1.637837028957036864e+03 8.402695309104469079e-17 2.507430721928437408e-16
1.640933714691617752e+03 1.023832595503660327e-17 2.276383484767082002e-16
1.644030400426198639e+03 3.717955103257771863e-16 2.243827555118847974e-16
1.647127086160779527e+03 1.512715213357481085e-16 2.067339079191541129e-16
1.650223771895360414e+03 7.498876675980405890e-17 1.888155443093247590e-16
1.653320457629941302e+03 -3.476867940079016754e-16 1.664852749991053649e-16
1.656417143364522190e+03 2.038592939378671036e-16 1.733801392533307716e-16
1.659513829099103077e+03 -1.875269285147978374e-18 1.600681838407461827e-16
1.662610514833683965e+03 1.640536768099891859e-16 1.557350860168165025e-16
1.665707200568264852e+03 1.985276239094828776e-17 1.456456333796402893e-16
1.668803886302845740e+03 2.814263488690540854e-16 1.466868574566090235e-16
1.671900572037426628e+03 -1.454104979165272249e-16 1.271938735823625657e-16
1.674997257772007515e+03 9.729690926604789374e-17 1.307400575461589336e-16
1.678093943506588403e+03 1.717616718321099276e-16 1.273192957017541640e-16
1.681190629241169290e+03 1.037788753138261122e-16 1.222986909853853847e-16
1.684287314975750178e+03 2.745147132179428765e-17 1.174683487381763952e-16
1.687384000710331065e+03 -8.709134791980604221e-17 1.102656606475641039e-16
1.690480686444911953e+03 -9.705463757689178609e-17 1.049136972040482189e-16
1.693577372179492841e+03 -1.731638196221192107e-17 1.051983869126309535e-16
1.696674057914073728e+03 1.271330517566430350e-17 1.027014834912466973e-16
1.699770743648654616e+03 1.207894696199901054e-16 1.020308345144659868e-16
1.702867429383235503e+03 7.945588512548366266e-17 9.988804293704343876e-17
1.705964115117816391e+03 -7.194767589856678320e-17 9.351555658702227165e-17
1.709060800852397279e+03 -5.708639576988288645e-17 8.955960528784345417e-17
1.712157486586978166e+03 1.374414793790291294e-17 9.080990528617770369e-17
1.715254172321559054e+03 1.536731918128939744e-16 9.150157862954226561e-17
1.718350858056139941e+03 -1.852638385653111709e-17 8.497499780227398690e-17
1.721447543790720829e+03 3.191442134235454951e-17 8.363307792234731878e-17
1.724544229525301716e+03 -1.045012922969290578e-16 7.948486931210744573e-17
1.727640915259882604e+03 -8.022195101417309530e-17 7.866166011154350429e-17
1.730737600994463492e+03 5.046855779470071295e-19 7.928252613995918385e-17
1.733834286729044379e+03 -3.310307957632602802e-17 7.585892412045038576e-17
1.736930972463625267e+03 7.243509584483589429e-17 7.668332772780890443e-17
1.740027658198206154e+03 -2.195980005064074713e-18 7.426799922081589082e-17
1.743124343932787042e+03 -8.089310993774360384e-17 7.069408240398076322e-17
1.746221029667367930e+03 -6.053878275451070259e-17 6.909263220716617805e-17
1.749317715401948817e+03 -8.778879307020224613e-17 6.663936478710785195e-17
1.752414401136529705e+03 -1.118686447619498488e-17 6.797233693265882608e-17
1.755511086871110592e+03 -1.059459479017504688e-16 6.405106826576751307e-17
1.758607772605691480e+03 5.463441439520066934e-17 6.696829584799295024e-17
1.761704458340272367e+03 3.017439537272675939e-17 6.501363734867962253e-17
1.764801144074853255e+03 -1.037877564775908890e-17 6.220897790609876872e-17
1.767897829809434143e+03 5.087428066868518886e-17 6.292275105817014715e-17
1.770994515544015030e+03 -1.406255476546067952e-17 6.032124685376282594e-17
1.774091201278595918e+03 3.541157076332354216e-17 6.016908286145380328e-17
1.777187887013176805e+03 2.204460908169372738e-17 5.926755702066321128e-17
1.780284572747757693e+03 -1.051278195095309016e-16 5.504289530956133226e-17
1.783381258482338581e+03 -4.445777813621475954e-17 5.584185458326732546e-17
1.786477944216919468e+03 -1.851770235167052561e-18 5.652078756888017692e-17
1.789574629951500356e+03 -2.077388818007979286e-17 5.322517495194179630e-17
1.792671315686081243e+03 1.179332900628774647e-16 5.753678753330524469e-17
1.795768001420662131e+03 4.394141013416126983e-17 5.469993467505592217e-17
1.798864687155243018e+03 -2.082362649072067621e-17 5.230280309012098473e-17
1.801961372889823906e+03 7.155808823695407697e-17 5.329099774409946537e-17
1.805058058624404794e+03 7.071421400722097862e-17 5.248646542997024385e-17
1.808154744358985681e+03 -5.056430869376223841e-17 4.879830275230084995e-17
1.811251430093566569e+03 3.345304393376659664e-17 4.984127734796392642e-17
1.814348115828147456e+03 9.725190539042414090e-17 5.044804188590965678e-17
1.817444801562728344e+03 4.610010212414683585e-19 4.729745908059257503e-17
1.820541487297309232e+03 -1.217312893974250775e-18 4.648305551295347329e-17
1.823638173031890119e+03 1.385557279427689164e-17 4.690643444786865514e-17
1.826734858766471007e+03 5.712878877945021097e-17 4.701395783548011700e-17
1.829831544501051894e+03 1.359280094752321099e-16 4.878319955962067165e-17
1.832928230235632782e+03 -1.106256563412707137e-17 4.390063217678059366e-17
1.836024915970213669e+03 -3.155602435293664527e-18 4.404353761097575735e-17
1.839121601704794557e+03 3.460468520923514776e-17 4.347411771755461689e-17
1.842218287439375445e+03 8.886464705103632493e-17 4.425789362338076852e-17
1.845314973173956332e+03 4.927139678105661803e-17 4.351552496521259089e-17
1.848411658908537220e+03 -1.577650758863206736e-17 4.161133695246511103e-17
1.851508344643118107e+03 1.442503175369822248e-17 4.184089587170324245e-17
1.854605030377698995e+03 1.055372435239876815e-17 4.131747377098367312e-17
1.857701716112279883e+03 3.184003563905412075e-17 4.079788788665600336e-17
1.860798401846860770e+03 6.596401431158854567e-17 4.168655903669307124e-17
1.863895087581441658e+03 -1.941850706967620724e-17 3.888529904285694208e-17
1.866991773316022545e+03 -4.466339825584322410e-17 3.847458186192841492e-17
1.870088459050603433e+03 1.223045480180742756e-17 4.007698548517785246e-17
1.873185144785184320e+03 -2.055813820954333804e-18 3.842159770923084075e-17
1.876281830519765208e+03 9.896798654226890246e-18 3.751559152260518021e-17
1.879378516254346096e+03 7.270828610362043976e-17 3.978242919226632125e-17
1.882475201988926983e+03 2.606335117315098468e-17 3.791780996065956359e-17
1.885571887723507871e+03 -2.809196548548882848e-17 3.609821758598036998e-17
1.888668573458088758e+03 -3.332039425058229530e-17 3.560483976448407835e-17
1.891765259192669646e+03 -2.271282654770664517e-17 3.515026982832231750e-17
1.894861944927250534e+03 9.162156978958356720e-17 3.812257979114571170e-17
1.897958630661831421e+03 4.750072970202212914e-18 3.576336283649470133e-17
1.901055316396412309e+03 -2.102376858618695867e-18 3.515792732943550068e-17
1.904152002130993196e+03 3.707886817672862049e-17 3.505808554977443611e-17
1.907248687865574084e+03 2.237586016394410163e-17 3.406111544529771537e-17
1.910345373600154971e+03 3.198674639032382002e-17 3.453933462327866647e-17
1.913442059334735859e+03 -1.369174142535721219e-17 3.282433571006708538e-17
1.916538745069316747e+03 1.740732712923467761e-17 3.386808037793145434e-17
1.919635430803897634e+03 7.433392766275079293e-17 3.454045254285974488e-17
1.922732116538478522e+03 6.501307872683336960e-17 3.384463531607805348e-17
1.925828802273059409e+03 7.459781995971369187e-17 3.391618689665255002e-17
1.928925488007640297e+03 6.576043910454111179e-17 3.367008574579900106e-17
1.932022173742221185e+03 -3.463283637957393195e-18 3.110737182977699579e-17
1.935118859476802072e+03 5.090491776558708993e-17 3.317980887703293514e-17
1.938215545211382960e+03 4.785822546918554532e-17 3.237503062006799519e-17
1.941312230945963847e+03 7.944412011145654909e-18 3.153861777416621580e-17
1.944408916680544735e+03 2.091085168043424431e-17 3.193993981430322098e-17
1.947505602415125622e+03 3.166690604837869687e-17 3.125252253531286356e-17
1.950602288149706510e+03 1.589107097367491391e-17 3.084822490177999238e-17
1.953698973884287398e+03 4.447678038389475709e-17 3.146544255418958944e-17
1.956795659618868285e+03 3.269568716284039921e-17 3.062469142553101014e-17
1.959892345353449173e+03 6.445798375778959158e-17 3.097964003261397205e-17
1.962989031088030060e+03 4.142734252460799818e-17 3.003383985254872973e-17
1.966085716822610948e+03 8.315283119022935350e-17 3.164517410841073728e-17
1.969182402557191836e+03 6.311433121617721956e-17 3.078403828319451565e-17
1.972279088291772723e+03 6.569166503194199814e-17 3.024089136241525422e-17
1.975375774026353611e+03 2.366567907342670602e-17 2.898731371226204720e-17
1.978472459760934498e+03 4.134054516433597608e-17 2.929845059789981583e-17
1.981569145495515386e+03 1.896190960828905188e-17 2.867555691774468414e-17
1.984665831230096273e+03 5.087058615376128886e-18 2.819794454514969340e-17
1.987762516964677161e+03 1.452831513255850436e-17 2.794615975026503803e-17
1.990859202699258049e+03 7.350480083098095962e-17 2.836414726634169159e-17
1.993955888433838936e+03 1.284656006648667358e-16 3.019287738899946521e-17
1.997052574168419824e+03 4.863267278099856573e-17 2.818230956087181297e-17
2.000149259903000711e+03 2.671094565693563438e-17 2.698676301170237550e-17
2.003245945637581599e+03 2.352077704801441586e-17 2.635139574029434846e-17
2.006342631372162487e+03 2.469017784675048769e-17 2.635829016061363458e-17
2.009439317106743374e+03 1.811607206193921976e-17 2.600453201403920381e-17
2.012536002841324262e+03 4.713002894980575057e-18 2.574281041565231434e-17
2.015632688575905149e+03 2.469512926475373465e-17 2.562134998564502533e-17
2.018729374310486037e+03 4.126976120958717640e-17 2.591253964254426569e-17
2.021826060045066924e+03 5.048466258179909629e-17 2.580559747905003422e-17
2.024922745779647812e+03 3.140107285268511716e-17 2.473938285635439809e-17
2.028019431514228700e+03 -9.676877931429539679e-18 2.327899828905829416e-17
2.031116117248809587e+03 2.411077008581300919e-17 2.441442333475742497e-17
2.034212802983390475e+03 1.737648822889701389e-17 2.423257231966254246e-17
2.037309488717971362e+03 3.168206128071249009e-17 2.461056346945782866e-17
2.040406174452552250e+03 7.010727447560328467e-18 2.347163885741633593e-17
2.043502860187133138e+03 2.796518927394249155e-17 2.414263586820808451e-17
2.046599545921714025e+03 4.987306811036691024e-18 2.300072345805540104e-17
2.049696231656294913e+03 -7.154499063384579741e-18 2.285955921546841499e-17
2.052792917390876028e+03 3.543693681720994757e-17 2.379405828335752837e-17
2.055889603125456688e+03 3.239085367121577249e-17 2.333538251231877789e-17
2.058986288860037348e+03 4.862186412778466060e-18 2.240322795114498415e-17
2.062082974594618463e+03 1.895862728562562675e-17 2.237001211341881937e-17
2.065179660329199578e+03 3.491074451431292053e-17 2.281852751881305725e-17
2.068276346063780238e+03 2.329259266368591399e-17 2.253369358561470564e-17
2.071373031798360898e+03 -1.038887816505912053e-17 2.098604909614177401e-17
2.074469717532942013e+03 8.786475497636616475e-18 2.126702498728776641e-17
2.077566403267523128e+03 -9.899892566336383369e-18 2.087065093927720557e-17
2.080663089002103789e+03 -1.762013212770456633e-17 2.057838647067548817e-17
2.083759774736684449e+03 -1.003883902665880579e-17 2.049103649678261973e-17
2.086856460471265564e+03 3.737190088018316053e-17 2.158205802019837424e-17
2.089953146205846679e+03 -1.240657518027555366e-17 1.991752476701277958e-17
2.093049831940427339e+03 1.680852708972875128e-17 2.023908313113853537e-17
2.096146517675007999e+03 3.560735543321079554e-17 2.066904460127077732e-17
2.099243203409589114e+03 1.056137539232051294e-17 1.991060009517325116e-17
2.102339889144170229e+03 5.064792077197368530e-17 2.097945988577689393e-17
2.105436574878750889e+03 5.019407713731196314e-18 1.915101393431776636e-17
2.108533260613331549e+03 4.180400329899960740e-17 2.058071366088563839e-17
2.111629946347912664e+03 -5.396855336243952610e-18 1.873920651587011603e-17
2.114726632082493779e+03 5.945588822212100191e-17 2.038005153298168865e-17
2.117823317817074440e+03 1.368960202551461872e-17 1.876756934477789240e-17
2.120920003551655100e+03 -4.353535036119325283e-18 1.830724517117402063e-17
2.124016689286236215e+03 3.029526349757670348e-17 1.922277254008739462e-17
2.127113375020817330e+03 5.200713722420278654e-17 1.968546109530290025e-17
2.130210060755397990e+03 4.140380184392441278e-17 1.919276649377396176e-17
2.133306746489978650e+03 4.895402083029108139e-17 1.937369409818619526e-17
2.136403432224559765e+03 3.060888227279377101e-17 1.861526672314813959e-17
2.139500117959140880e+03 5.844334786323845640e-17 1.927807279780399683e-17
2.142596803693721540e+03 1.400535744015528857e-17 1.822830132703113656e-17
