# ZTF21AAABWZX oecz03050 G230L MAMA z=0.046 a2center=528.3 extrsize=11 exptime=2713.2 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1496.7706 1565.6220 0.000000e+00 0.000000e+00 1.340902e-02 2564 0
1498.2464 1567.1657 0.000000e+00 0.000000e+00 5.404136e-03 2564 0
1499.7222 1568.7094 0.000000e+00 0.000000e+00 8.712619e-04 2564 0
1501.1980 1570.2531 0.000000e+00 0.000000e+00 -8.764309e-04 2564 0
1502.6738 1571.7968 0.000000e+00 0.000000e+00 -2.430074e-03 2560 0
1504.1496 1573.3405 0.000000e+00 0.000000e+00 5.797411e-03 512 0
1505.6254 1574.8842 0.000000e+00 0.000000e+00 1.181009e-03 512 0
1507.1013 1576.4279 0.000000e+00 0.000000e+00 2.982016e-03 512 0
1508.5771 1577.9717 0.000000e+00 0.000000e+00 -5.491712e-03 512 0
1510.0530 1579.5154 0.000000e+00 0.000000e+00 -4.014577e-03 512 0
1511.5288 1581.0592 4.618645e-14 5.105367e-14 3.435745e-03 0 0
1513.0047 1582.6029 1.560476e-14 2.380210e-14 2.386994e-03 0 0
1514.4806 1584.1467 1.102942e-14 1.581451e-14 2.555688e-03 0 0
1515.9565 1585.6905 4.142725e-15 1.177857e-14 1.286888e-03 0 0
1517.4324 1587.2343 2.088639e-15 9.148383e-15 8.140127e-04 0 0
1518.9083 1588.7781 4.121245e-15 7.798006e-15 1.932871e-03 0 0
1520.3842 1590.3219 -8.043326e-15 5.926248e-15 -4.411424e-03 0 0
1521.8601 1591.8657 -1.223501e-15 5.604564e-15 -7.685761e-04 0 0
1523.3361 1593.4095 -3.398875e-15 4.881829e-15 -2.415455e-03 0 0
1524.8120 1594.9533 3.467320e-15 4.468171e-15 2.806518e-03 0 0
1526.2879 1596.4972 -6.034916e-15 3.602688e-15 -5.495194e-03 0 0
1527.7639 1598.0410 1.026780e-15 3.531204e-15 1.056410e-03 0 0
1529.2399 1599.5849 -1.187370e-15 3.020536e-15 -1.364248e-03 0 0
1530.7158 1601.1288 -1.514098e-15 2.654256e-15 -1.945982e-03 0 0
1532.1918 1602.6727 -9.769999e-16 2.441075e-15 -1.390152e-03 0 0
1533.6678 1604.2165 2.749277e-16 2.246268e-15 4.333307e-04 0 0
1535.1438 1605.7604 -1.805741e-15 1.983410e-15 -3.124727e-03 0 0
1536.6198 1607.3044 -7.733234e-16 1.808524e-15 -1.469891e-03 0 0
1538.0959 1608.8483 -2.073930e-15 1.593459e-15 -4.296527e-03 0 0
1539.5719 1610.3922 1.670864e-16 1.547102e-15 3.775123e-04 0 0
1541.0479 1611.9361 -4.423860e-17 1.440200e-15 -1.082763e-04 0 0
1542.5240 1613.4801 -3.773851e-16 1.328351e-15 -1.000836e-03 0 0
1544.0000 1615.0240 2.985829e-15 1.398413e-15 8.531146e-03 0 0
1545.4761 1616.5680 -1.974158e-16 1.113874e-15 -6.073869e-04 0 0
1546.9522 1618.1120 6.742581e-17 1.087109e-15 2.223193e-04 0 0
1548.4282 1619.6559 1.163121e-15 1.060474e-15 4.105451e-03 0 0
1549.9043 1621.1999 4.502715e-16 9.665615e-16 1.694575e-03 0 0
1551.3804 1622.7439 1.455846e-15 9.351777e-16 5.832792e-03 0 0
1552.8565 1624.2879 1.020413e-15 9.026823e-16 4.337673e-03 0 0
1554.3327 1625.8320 8.251007e-16 8.194937e-16 3.714468e-03 0 0
1555.8088 1627.3760 -7.571213e-16 7.004645e-16 -3.599455e-03 0 0
1557.2849 1628.9200 -9.734993e-17 7.061927e-16 -4.877702e-04 0 0
1558.7611 1630.4641 -1.975806e-16 6.507399e-16 -1.040856e-03 0 0
1560.2372 1632.0081 -9.587168e-16 5.917681e-16 -5.299284e-03 0 0
1561.7134 1633.5522 -1.253873e-16 6.030388e-16 -7.257205e-04 0 0
1563.1895 1635.0962 -1.271146e-16 5.732667e-16 -7.688408e-04 0 0
1564.6657 1636.6403 4.320046e-16 5.765141e-16 2.725741e-03 0 0
1566.1419 1638.1844 2.505638e-16 5.486483e-16 1.646077e-03 0 0
1567.6181 1639.7285 -4.947719e-17 5.050163e-16 -3.379101e-04 0 0
1569.0943 1641.2726 2.899656e-17 4.902116e-16 2.055201e-04 0 0
1570.5705 1642.8167 -6.336133e-17 4.757510e-16 -4.654319e-04 0 0
1572.0467 1644.3609 9.521738e-16 5.084969e-16 7.237633e-03 0 0
1573.5229 1645.9050 -9.948816e-18 4.478497e-16 -7.815985e-05 0 0
1574.9992 1647.4491 2.379307e-16 4.561046e-16 1.929337e-03 0 0
1576.4754 1648.9933 3.775970e-16 4.350274e-16 3.157030e-03 0 0
1577.9517 1650.5375 3.223013e-16 4.210130e-16 2.775003e-03 0 0
1579.4279 1652.0816 -3.052570e-16 3.885918e-16 -2.703487e-03 0 0
1580.9042 1653.6258 -6.380178e-16 3.461856e-16 -5.806316e-03 0 0
1582.3805 1655.1700 6.058229e-16 3.973499e-16 5.660635e-03 0 0
1583.8568 1656.7142 -2.058723e-16 3.658269e-16 -1.973128e-03 0 0
1585.3331 1658.2584 -6.570580e-18 3.630669e-16 -6.454578e-05 0 0
1586.8094 1659.8026 8.060381e-17 3.520439e-16 8.108697e-04 0 0
1588.2857 1661.3468 -4.740587e-17 3.320978e-16 -4.880382e-04 0 0
1589.7620 1662.8911 4.251221e-16 3.588395e-16 4.475317e-03 0 0
1591.2384 1664.4353 5.008425e-16 3.500289e-16 5.387883e-03 0 0
1592.7147 1665.9796 3.807361e-17 3.261489e-16 4.182640e-04 0 0
1594.1910 1667.5238 5.383055e-16 3.408123e-16 6.035420e-03 0 0
1595.6674 1669.0681 8.131545e-17 3.133826e-16 9.299193e-04 0 0
1597.1438 1670.6124 1.715360e-16 3.072039e-16 1.999808e-03 0 0
1598.6201 1672.1567 -5.643384e-16 2.584863e-16 -6.703677e-03 0 0
1600.0965 1673.7010 -6.619600e-18 2.951393e-16 -8.008280e-05 0 0
1601.5729 1675.2453 1.502078e-16 2.859984e-16 1.849896e-03 0 0
1603.0493 1676.7896 -8.698470e-17 2.802426e-16 -1.090095e-03 0 0
1604.5257 1678.3339 2.517260e-16 2.816776e-16 3.208845e-03 0 0
1606.0022 1679.8783 6.082556e-16 3.049744e-16 7.883837e-03 0 0
1607.4786 1681.4226 5.615571e-16 2.894920e-16 7.398116e-03 0 0
1608.9550 1682.9670 -4.280096e-16 2.409928e-16 -5.729204e-03 0 0
1610.4315 1684.5113 2.419920e-16 2.681849e-16 3.290127e-03 0 0
1611.9079 1686.0557 -1.327897e-16 2.502666e-16 -1.833124e-03 0 0
1613.3844 1687.6001 2.761991e-17 2.524379e-16 3.870209e-04 0 0
1614.8609 1689.1445 2.542028e-16 2.562662e-16 3.614335e-03 0 0
1616.3373 1690.6888 -3.169533e-16 2.240157e-16 -4.571514e-03 0 0
1617.8138 1692.2333 -1.397715e-16 2.311461e-16 -2.044364e-03 0 0
1619.2903 1693.7777 1.642811e-17 2.366620e-16 2.436093e-04 0 0
1620.7668 1695.3221 4.755083e-17 2.336192e-16 7.146555e-04 0 0
1622.2433 1696.8665 -1.009862e-16 2.259619e-16 -1.537927e-03 0 0
1623.7199 1698.4110 2.371006e-16 2.378902e-16 3.657760e-03 0 0
1625.1964 1699.9554 -8.116932e-17 2.189618e-16 -1.268245e-03 0 0
1626.6729 1701.4999 1.950458e-16 2.298771e-16 3.085622e-03 0 0
1628.1495 1703.0444 1.606483e-16 2.287602e-16 2.572754e-03 0 0
1629.6260 1704.5888 -1.045896e-16 2.099304e-16 -1.695207e-03 0 0
1631.1026 1706.1333 8.257207e-17 2.183775e-16 1.354288e-03 0 0
1632.5792 1707.6778 -1.381458e-16 2.036509e-16 -2.292261e-03 0 0
1634.0558 1709.2223 -1.454681e-16 1.944673e-16 -2.441639e-03 0 0
1635.5324 1710.7668 -5.629315e-17 2.014350e-16 -9.555940e-04 0 0
1637.0090 1712.3114 1.944539e-16 2.161430e-16 3.337991e-03 0 0
1638.4856 1713.8559 3.103944e-16 2.163483e-16 5.387202e-03 0 0
1639.9622 1715.4004 7.003572e-17 2.018821e-16 1.228860e-03 0 0
1641.4388 1716.9450 -6.513648e-17 1.966291e-16 -1.155272e-03 0 0
1642.9154 1718.4896 -2.131078e-16 1.829731e-16 -3.820268e-03 0 0
