# ZTF21AAKILYD oedo02010 G230L MAMA z=0.084 a2center=515.6 extrsize=11 exptime=2100.2 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1450.5234 1572.3674 0.000000e+00 0.000000e+00 -1.609611e-03 2564 0
1451.9475 1573.9111 0.000000e+00 0.000000e+00 6.639352e-04 2564 0
1453.3716 1575.4548 0.000000e+00 0.000000e+00 -2.786492e-03 2564 0
1454.7957 1576.9985 0.000000e+00 0.000000e+00 -1.774481e-03 2564 0
1456.2198 1578.5422 0.000000e+00 0.000000e+00 -2.639717e-03 2560 0
1457.6439 1580.0859 9.332764e-14 1.770310e-13 1.819786e-03 0 0
1459.0680 1581.6297 -9.257499e-16 3.914707e-14 -8.334126e-05 0 0
1460.4921 1583.1734 -2.257276e-15 1.962900e-14 -3.628260e-04 0 0
1461.9162 1584.7172 7.723470e-15 1.476349e-14 1.788992e-03 0 0
1463.3404 1586.2609 -2.699552e-14 9.517938e-15 -8.171787e-03 0 0
1464.7645 1587.8047 1.609293e-14 1.044269e-14 6.018299e-03 0 0
1466.1886 1589.3485 2.164328e-15 7.800982e-15 9.640320e-04 0 0
1467.6128 1590.8923 2.593939e-15 6.858880e-15 1.341254e-03 0 0
1469.0370 1592.4361 1.114939e-14 6.573551e-15 6.566361e-03 0 0
1470.4612 1593.9799 -3.871052e-15 4.879421e-15 -2.589017e-03 0 0
1471.8853 1595.5237 -5.631748e-15 4.083861e-15 -4.268152e-03 0 0
1473.3095 1597.0675 3.009868e-15 4.124131e-15 2.572585e-03 0 0
1474.7337 1598.6114 6.135774e-15 3.936039e-15 5.899074e-03 0 0
1476.1579 1600.1552 8.034055e-16 3.287019e-15 8.635956e-04 0 0
1477.5822 1601.6991 4.700740e-15 3.066355e-15 5.630963e-03 0 0
1479.0064 1603.2429 -1.292103e-15 2.482987e-15 -1.714526e-03 0 0
1480.4306 1604.7868 -4.912689e-16 2.294805e-15 -7.198520e-04 0 0
1481.8549 1606.3307 -1.313184e-15 1.998796e-15 -2.113405e-03 0 0
1483.2791 1607.8746 -1.360286e-15 1.833905e-15 -2.398396e-03 0 0
1484.7034 1609.4185 1.688902e-15 1.920751e-15 3.246779e-03 0 0
1486.1276 1610.9624 -1.072763e-16 1.604313e-15 -2.244185e-04 0 0
1487.5519 1612.5063 1.424484e-15 1.618995e-15 3.228622e-03 0 0
1488.9762 1614.0502 -3.380413e-16 1.367099e-15 -8.286955e-04 0 0
1490.4005 1615.5941 -4.547334e-16 1.270198e-15 -1.200788e-03 0 0
1491.8248 1617.1381 2.782495e-15 1.341903e-15 7.900914e-03 0 0
