# ZTF21ACKXDOS letz01010 G160M FUV z=0.018  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1581.2351 1609.6974 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.2472 1609.7096 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.2592 1609.7219 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.2712 1609.7341 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.2833 1609.7464 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.2953 1609.7586 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3073 1609.7709 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3194 1609.7831 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3314 1609.7954 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3434 1609.8076 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3555 1609.8199 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3675 1609.8321 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3796 1609.8444 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.3916 1609.8566 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4036 1609.8689 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4157 1609.8811 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4277 1609.8934 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4397 1609.9056 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4518 1609.9179 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4638 1609.9301 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4758 1609.9424 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4879 1609.9547 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.4999 1609.9669 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5119 1609.9792 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5240 1609.9914 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5360 1610.0037 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5480 1610.0159 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5601 1610.0282 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5721 1610.0404 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5842 1610.0527 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.5962 1610.0649 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6082 1610.0772 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6203 1610.0894 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6323 1610.1017 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6443 1610.1139 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6564 1610.1262 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6684 1610.1384 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6804 1610.1507 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.6925 1610.1629 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7045 1610.1752 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7165 1610.1874 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7286 1610.1997 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7406 1610.2119 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7526 1610.2242 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7647 1610.2364 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7767 1610.2487 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.7887 1610.2609 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8008 1610.2732 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8128 1610.2855 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8249 1610.2977 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8369 1610.3100 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8489 1610.3222 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8610 1610.3345 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8730 1610.3467 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8850 1610.3590 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.8971 1610.3712 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9091 1610.3835 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9211 1610.3957 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9332 1610.4080 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9452 1610.4202 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9572 1610.4325 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9693 1610.4447 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9813 1610.4570 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1581.9933 1610.4692 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0054 1610.4815 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0174 1610.4937 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0295 1610.5060 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0415 1610.5182 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0535 1610.5305 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0656 1610.5427 0.000000e+00 0.000000e+00 0.0000e+00 128 0
