# ZTF25ABVBCZT ofgd05010 G230LB CCD z=0.014677 a2center=893.6 extrsize=7 exptime=1914.0 mode=adaptive_es7@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
1638.6343 1662.6845 1.394096e-14 9.922718e-15 2.873599e-02 512 0
1639.9849 1664.0549 1.041481e-14 8.256648e-15 2.156099e-02 0 0
1641.3355 1665.4254 -8.519649e-15 8.142014e-15 -2.092414e-02 16384 0
1642.6862 1666.7959 2.446960e-15 8.644712e-15 4.700915e-03 16 0
1644.0369 1668.1664 -1.183529e-16 7.055529e-15 -8.249986e-04 0 0
1645.3876 1669.5369 -1.786736e-15 6.531171e-15 -4.893420e-03 16384 0
1646.7383 1670.9074 -9.144801e-15 6.193728e-15 -2.598120e-02 16384 0
1648.0890 1672.2780 1.967464e-14 6.811534e-15 5.333735e-02 0 0
1649.4397 1673.6485 -5.562827e-14 1.542125e-14 -1.699924e-01 16400 0
1650.7905 1675.0191 -1.694936e-14 5.656780e-15 -5.370245e-02 16640 0
1652.1412 1676.3897 4.384784e-15 5.672256e-15 1.361534e-02 256 0
1653.4920 1677.7603 7.479202e-15 5.839773e-15 2.370851e-02 0 0
1654.8428 1679.1309 3.817927e-15 6.090578e-15 1.274188e-02 16 0
1656.1936 1680.5016 -6.348625e-16 5.038866e-15 -2.311365e-03 16384 0
1657.5444 1681.8722 -1.216862e-14 5.888471e-15 -4.578078e-02 16400 0
1658.8953 1683.2429 1.086516e-14 5.325387e-15 3.910175e-02 0 0
1660.2461 1684.6135 -5.432243e-14 1.438522e-14 -2.176226e-01 16400 0
1661.5970 1685.9842 -1.969854e-15 8.534070e-15 -8.127738e-03 16400 0
1662.9478 1687.3549 -5.468694e-14 1.761071e-14 -2.322157e-01 16400 0
1664.2987 1688.7256 6.405642e-15 4.475022e-15 2.601354e-02 0 0
1665.6496 1690.0964 -3.493419e-14 9.112081e-15 -1.565187e-01 16400 0
1667.0006 1691.4671 2.825913e-15 4.242992e-15 1.232916e-02 0 0
1668.3515 1692.8379 -5.727974e-15 5.225458e-15 -2.697125e-02 16400 0
1669.7024 1694.2087 7.576988e-15 4.115547e-15 3.388041e-02 0 0
1671.0534 1695.5795 1.375451e-14 4.212925e-15 6.275168e-02 0 0
1672.4044 1696.9503 3.406916e-15 3.907021e-15 1.615436e-02 16 0
1673.7554 1698.3211 -2.503652e-15 5.862811e-15 -1.289220e-02 16400 0
1675.1064 1699.6919 2.186076e-15 3.387308e-15 1.096854e-02 0 0
1676.4574 1701.0628 2.057702e-15 3.331873e-15 1.055340e-02 0 0
1677.8084 1702.4336 2.939953e-15 3.866049e-15 1.515462e-02 0 0
1679.1595 1703.8045 7.984508e-15 3.227470e-15 4.121944e-02 0 0
1680.5105 1705.1754 -3.177512e-15 3.066943e-15 -1.804226e-02 16384 0
1681.8616 1706.5463 -5.632930e-15 2.996565e-15 -3.256765e-02 16384 0
1683.2127 1707.9172 5.438172e-15 3.161449e-15 2.972941e-02 0 0
1684.5638 1709.2881 6.907151e-15 4.111051e-15 3.831748e-02 16 0
1685.9149 1710.6591 5.055281e-15 4.027342e-15 2.860781e-02 0 0
1687.2660 1712.0301 -1.797006e-14 5.214641e-15 -1.112212e-01 16400 0
1688.6172 1713.4010 3.831747e-15 3.596236e-15 2.248882e-02 0 0
1689.9683 1714.7720 -1.249103e-14 3.251867e-15 -7.981256e-02 16384 0
1691.3195 1716.1430 8.447619e-15 3.796344e-15 5.072466e-02 16 0
1692.6707 1717.5140 5.056223e-15 2.800566e-15 3.093001e-02 0 0
1694.0219 1718.8851 -3.112586e-15 2.693239e-15 -2.081437e-02 16384 0
1695.3731 1720.2561 3.496873e-15 3.495012e-15 2.214722e-02 16 0
1696.7243 1721.6272 -6.444910e-15 5.400735e-15 -4.436772e-02 16400 0
1698.0756 1722.9982 -7.249783e-15 2.974406e-15 -5.061983e-02 16384 0
1699.4268 1724.3693 1.548047e-15 2.688082e-15 1.048493e-02 0 0
1700.7781 1725.7404 1.879929e-15 2.733842e-15 1.279629e-02 0 0
1702.1294 1727.1115 -5.175389e-14 9.149110e-15 -3.766116e-01 16400 0
1703.4807 1728.4826 3.129377e-16 2.444021e-15 2.308008e-03 16384 0
1704.8320 1729.8538 4.886003e-15 2.413380e-15 3.387212e-02 0 0
