sn,sn_type,z,host_ebv,n_mg2_epochs,n_mg2_kwok,n_mg2_pcygni,n_lya_epochs,mg2_peak_e15,flag
2022MOX,SN Ia,0.0236798112422114,0.0,0,0,0,0,,
2024RYV,SN IIP,0.015,0.0,0,0,0,0,,
2024TVI,SN IIn,0.03,0.0,0,0,0,0,,
2025NGI,SN II,0.01116,0.0,0,0,0,0,,
2025RYZ,SN II,0.016201,0.0,0,0,0,0,,
2025WHV,SLSN-I,0.11,0.0,0,0,0,0,,
ASASSN-15LH,SN I,0.2326,0.0,0,0,0,0,,
ASASSN14LP,,0.0051,0.0,0,0,0,0,,
AT-2023TSV,,0.028,0.0,2,0,2,0,18.6,
AT2020NXT,SN Ibn,0.029,0.0,1,0,1,0,11.5,
AT2020UXZ,SN Ia,0.008246,0.0,0,0,0,0,,
AT2020YVU,SN Ia,0.01,0.0,0,0,0,0,,
AT2021DOV,SN Ia,0.012,0.0,0,0,0,0,,
AT2021J,SN Ia,0.002445,0.0,0,0,0,0,,
AT2021JAD,SN Ia,0.0061,0.0,0,0,0,0,,
AT2021ZFW,SN Ia,0.028837,0.0,0,0,0,0,,
AT2022ACKO,SN II,0.0053,0.03,3,0,3,1,133.6,
AT2022EYW,SN Iax[02cx-like],0.009,0.0,0,0,0,0,,
AT2023IUC,SN Ibn,0.07676,0.0,0,0,0,0,,
AT2024WPP,SN,0.08678,0.0,0,0,0,0,,
AT2025JQJ,SN Ia,0.0808,0.0,0,0,0,0,,
AT2025NQF,,0.0,0.0,0,0,0,0,,
AT2025SCW,SN II,0.01,0.0,1,0,1,0,9.4,
GAIA16APD,SLSN-I,0.1013,0.0,0,0,0,0,,
LMC-SN1987A-STIS-2,SN IIP,0.0009,0.1,4,1,1,9,37882890.8,"flux_scale_outlier: nearby/resolved object (aperture-dependent flux, not comparable to extragalactic SNe)"
LSQ15ABL,,0.087,0.0,0,0,0,0,,
M82-SN,SN Ia,0.00068,0.0,0,0,0,0,,
NSNF3,SN Ia,0.0,0.0,0,0,0,0,,
NSNF4,SN Ia,0.0307,0.0,0,0,0,0,,
NSNF5,SN Ic,0.0202828790186173,0.0,0,0,0,0,,
PS15DPQ-AS-OFFSET,SN Ia-91T-like,0.038,0.0,0,0,0,0,,
PSN07,SN Ia,0.0049,0.0,1,0,1,0,4.6,
PSN2037+6607,SN Ibn,0.0,0.06,1,0,1,0,7.8,
PSNJ0338,SN Ia,0.006494,0.0,4,0,4,0,13.9,
PTF10YGU,SN Ia,0.025047,0.0,0,0,0,0,,
PTF11DIJ,SN Ic,0.1429,0.0,0,0,0,0,,
PTF11KLY,SN Ia,0.000804,0.014,5,0,4,1,63.1,
PTF12ENA,SN Ia,0.0166,0.0,2,0,2,0,20.2,
PTF12GZK,,0.014,0.0,0,0,0,0,,
SN-2005IP,SN IIn,0.007,0.0,2,1,0,2,29.8,
SN-2025SHI,SN Ibn,0.031952,0.0,0,0,0,0,,
SN-MRK1309,SN I,0.0057239598736002,0.0,0,0,0,0,,
SN-UG8189,SN Ia,0.025068,0.0,1,0,1,0,12.5,
SN1993J-STIS,SN IIb,0.000113,0.11,2,2,0,3,126.6,
SN1998S,SN IIn,0.002729,0.128,5,2,2,3,413.6,
SN1999EM,SN II,0.002,0.01,2,0,1,2,340.7,
SN2001EH,SN Ia,0.037,0.0,0,0,0,0,,
SN2001EP,SN Ia,0.013,0.0,0,0,0,1,,
SN2002AP,SN Ic,0.002,0.008,2,0,2,3,139.0,
SN2002XX,SN Ib/c,0.00292,0.0,1,0,1,0,76.4,
SN2009IP,SN IIn,0.006,0.0,1,0,1,0,50.7,
SN2010AL,SN I,0.017,0.017,0,0,0,0,,
SN2010JL,SN IIn,0.011,0.031,4,1,2,3,672.4,
SN2011BY,SN Ia,0.003,0.0,0,0,0,0,,
SN2011DH,SN IIP,0.002,0.04,1,0,1,0,4.3,
SN2011EK,SN Ia,0.005,0.0,0,0,0,0,,
SN2011HT,SN IIn,0.004,0.0,0,0,0,0,,
SN2012BL,SN Ia,0.0187,0.0,0,0,0,0,,
SN2012CG,SN Ia,0.001,0.0,0,0,0,0,,
SN2012ET,SN Ia,0.025,0.0,0,0,0,0,,
SN2013DH,SN Ia,0.013,0.0,0,0,0,0,,
SN2013DY,SN Ia,0.004,0.0,0,0,0,0,,
SN2014C,SN Ib,0.003,0.67,0,0,0,0,,
SN2016CCJ,SN Ia-pec,0.03,0.0,0,0,0,0,,
SN2017CBV,SN Ia,0.004,0.0,0,0,0,0,,
SN2017EGM,SLSN-I,0.031,0.007,1,0,0,0,705.7,
SN2017ERP,SN Ia,0.006,0.0,0,0,0,0,,
SN2018BSZ,SN II,0.027,0.04,1,0,1,0,105.7,
SN2021FXY,SN Ia,0.009,0.0,0,0,0,0,,
SN2021HIZ,SN Ia,0.003,0.0,0,0,0,0,,
SN2021YJA,SN IIP,0.005307,0.07,2,0,2,0,238.8,
SN2022HRS-HV,SN Ia,0.0047,0.0,0,0,0,0,,
SN2022WSP,SN II,0.007318,0.0,0,0,0,0,,
SN2023BEE,SN Ia,0.006698,0.0,0,0,0,0,,
SN2023GFT,SN Ia,0.0098,0.0,0,0,0,0,,
SN2023IXF,SN II,0.00087,0.031,10,3,1,9,463.0,
SN2024BCH,SN II,0.003839,0.0,0,0,0,0,,
SN2024FAQ,SN II,0.026,0.0,0,0,0,0,,
SN2024GGI,SN II,0.002196,0.084,2,0,1,1,100.4,
SN2024ISS,SN IIb,0.003334,0.0,1,0,1,0,192.5,
SN2024PSO,SN II,0.018,0.0,0,0,0,0,,
SN2024XRX,SN II,0.037376,0.0,0,0,0,0,,
SN2025ADJ,SN II,0.011389,0.0,0,0,0,0,,
SN2025AFCR,SLSN-I,0.1335,0.0,2,0,2,2,51.8,
SN2025BCO,SN II,0.036,0.0,0,0,0,0,,
SN2025TIS,SN II,0.0050934863682419,0.0,4,0,4,0,110.7,
SN2025XAZ,SN Ia,0.0324396419794725,0.0,0,0,0,0,,
SN2026AYT,SN II,0.0036,0.0,3,3,0,1,927.6,
